origin_index,cluster,model,n_sku_origins,n_valid_mase,mean_mase,median_mase,mase_lt_1_share,mean_mae,mean_sku_wape,median_sku_wape,aggregate_wape,aggregate_bias,actual_volume
4,1,SES,53.0,53.0,3.512245990653216,1.7834905554260625,0.2641509433962264,4.116678681344161,1.5306303097814413,1.0,0.8456743027567462,0.1427460027805783,2064.0
4,1,Zero,53.0,53.0,3.6137859588102295,2.019230769230769,0.32075471698113206,4.867924528301887,1.0,1.0,1.0,-1.0,2064.0
4,2,ADIDA2,43.0,43.0,5.056883023206007,3.825616616859836,0.06976744186046512,1.0756893389292554,1.9771685502163665,1.133777495787808,1.8409807591625067,0.28998068704342883,201.0
4,2,MA4_proxy,43.0,43.0,4.540827128029673,3.4375,0.11627906976744186,0.9752906976744186,1.6659488038003665,1.0,1.6691542288557213,0.20398009950248755,201.0
4,2,Naive,43.0,43.0,3.8933228586989457,2.0,0.3953488372093023,0.8343023255813954,1.303691620879121,1.0,1.427860696517413,0.07462686567164178,201.0
4,2,SES,43.0,43.0,4.710987440682098,2.9513646381711873,0.11627906976744186,0.999664111265438,1.8508821262542157,1.1231174257011172,1.7108679317179634,0.3387767487297463,201.0
4,2,Zero,43.0,43.0,2.951802283194874,1.3095238095238095,0.4883720930232558,0.5843023255813954,1.0,1.0,1.0,-1.0,201.0
5,0,ADIDA2,35.0,13.0,7.523261044742469,4.526785596077198,0.23076923076923078,1.0724254463973417,1.9516082614843284,1.0000000000000027,1.3837747695449572,-0.24195166533539442,217.0
5,0,MA4_proxy,35.0,13.0,7.054487179487179,3.25,0.23076923076923078,0.9678571428571429,1.7028011204481794,1.0,1.2488479262672811,-0.3640552995391705,217.0
5,0,Naive,35.0,13.0,6.498351648351648,2.4375,0.23076923076923078,0.9392857142857143,1.4414565826330534,1.0,1.2119815668202765,-0.1152073732718894,217.0
5,0,SES,35.0,13.0,6.7650091762349875,2.6305322167789877,0.23076923076923078,0.9240655927272329,1.529791964117413,1.000000308839258,1.1923427002932037,-0.32675906834323587,217.0
5,0,Zero,35.0,13.0,6.216208791208792,2.228571428571428,0.38461538461538464,0.775,1.0,1.0,1.0,-1.0,217.0
5,1,ADIDA2,78.0,78.0,3.450126099720355,1.6249999999999991,0.2692307692307692,4.007186484661205,1.492255451261385,0.99999999001557,0.9119199002292459,-0.16313136096179803,2742.0
5,1,MA4_proxy,78.0,78.0,3.205190061802568,1.4612202380952382,0.358974358974359,3.8569711538461537,1.385858203765733,1.0,0.8777352297592997,-0.1601021152443472,2742.0
5,1,Naive,78.0,78.0,3.198236284076257,1.4704106280193237,0.3717948717948718,4.233974358974359,1.3988601832272896,1.0,0.9635302698760029,0.09117432530999271,2742.0
5,1,SES,78.0,78.0,3.358109086628079,1.3873907600097635,0.38461538461538464,4.2322866507797885,1.3661554206178976,1.0,0.9631461962387265,0.048776901713514995,2742.0
5,1,Zero,78.0,78.0,3.034743665044862,1.504598662207358,0.3717948717948718,4.394230769230769,1.0,1.0,1.0,-1.0,2742.0
5,2,ADIDA2,34.0,34.0,2.6201650669859773,1.6664242754850829,0.20588235294117646,0.5865300240301542,1.7312660630277967,1.1344879921653135,1.3872710133582777,0.12003546951128732,115.0
5,2,MA4_proxy,34.0,34.0,2.24594942586211,1.6167417417417416,0.38235294117647056,0.5073529411764706,1.5739387926887927,1.0,1.2,-0.043478260869565216,115.0
5,2,Naive,34.0,34.0,1.7957895360514846,0.921875,0.5294117647058824,0.4742647058823529,1.3947811447811451,1.0,1.1217391304347826,-0.3739130434782609,115.0
5,2,SES,34.0,34.0,2.168571533883192,1.5244404931919044,0.23529411764705882,0.5025698947577513,1.5269076999609361,1.2001071911066878,1.1886870554270292,-0.06331715186996636,115.0
5,2,Zero,34.0,34.0,1.7254403862905703,0.8522222222222222,0.5882352941176471,0.4227941176470588,1.0,1.0,1.0,-1.0,115.0
6,0,ADIDA2,28.0,12.0,5.826920647318855,3.035184479911248,0.16666666666666666,1.3042530929126994,1.0129386245359995,1.0,0.9937166422191996,-0.657765822639866,294.0
6,0,MA4_proxy,28.0,12.0,5.558874198717949,3.261057692307692,0.16666666666666666,1.2700892857142858,0.9985716519253105,1.0,0.967687074829932,-0.6802721088435374,294.0
6,0,Naive,28.0,12.0,6.88261217948718,4.59375,0.08333333333333333,1.5803571428571428,1.3212945590994372,1.0,1.2040816326530612,-0.5374149659863946,294.0
6,0,SES,28.0,12.0,6.784075545169933,4.458005066735504,0.08333333333333333,1.558600657395456,1.3449697199676633,1.0,1.1875052627774905,-0.5398956167022997,294.0
6,0,Zero,28.0,12.0,6.2741987179487175,3.28125,0.16666666666666666,1.3125,1.0,1.0,1.0,-1.0,294.0
6,1,ADIDA2,76.0,76.0,2.0655374184731117,1.2771112113207357,0.3815789473684211,3.362513077206956,0.9042542476812067,0.793961484110811,0.7585929317038327,-0.0683003024515147,2695.0
6,1,MA4_proxy,76.0,76.0,2.0544405213842425,1.2961298076923078,0.39473684210526316,3.2458881578947367,0.9007115254998469,0.7857142857142857,0.7322820037105752,-0.07235621521335807,2695.0
6,1,Naive,76.0,76.0,2.5289682889511846,1.362676056338028,0.34210526315789475,3.633223684210526,1.0970416709486983,1.0,0.8196660482374768,-0.08274582560296846,2695.0
6,1,SES,76.0,76.0,2.47881564528643,1.405730805216646,0.3815789473684211,3.4960977394769164,1.032107618474494,0.8495997648086688,0.7887300280526772,-0.001659129202251177,2695.0
6,1,Zero,76.0,76.0,2.3477934836835868,1.747265625,0.27631578947368424,4.432565789473684,1.0,1.0,1.0,-1.0,2695.0
6,2,ADIDA2,43.0,43.0,2.3528325943427117,1.4506578947368423,0.37209302325581395,0.5602300326132169,1.1860167131898214,1.0000000898598669,1.1336419483467448,-0.30473178246515725,170.0
6,2,MA4_proxy,43.0,43.0,2.421530712230769,1.75,0.37209302325581395,0.5625,1.693761612783352,1.0,1.138235294117647,-0.23529411764705882,170.0
6,2,Naive,43.0,43.0,2.6447517013059314,1.4506578947368423,0.4418604651162791,0.6337209302325582,2.0247398736529174,1.0,1.2823529411764707,0.12941176470588237,170.0
6,2,SES,43.0,43.0,2.5564027917623253,1.596625994355185,0.37209302325581395,0.6076532763646907,1.6727458795046453,1.0784740585241548,1.2296042768791389,-0.01624673747204969,170.0
6,2,Zero,43.0,43.0,1.9219888721275586,0.47727272727272724,0.5348837209302325,0.4941860465116279,1.0,1.0,1.0,-1.0,170.0
