feature_set,n_features,k,n_skus,valid,error,silhouette,calinski_harabasz,min_cluster_size,max_cluster_size,cluster_sizes,stability_ari_mean,stability_ari_median,stability_ari_p10,stability_ari_p90,cluster_jaccard_medians,sensitivity_pareto,confirmatory_eligible,confirmatory_pareto
ADI+CV2+mean_sales+std_sales,4,3,197,True,,0.28161876797719015,169.37944589702133,43,92,1:92;2:43;3:62,0.5574713012859859,0.4853185103144333,0.40852263052590637,0.8363184656818725,"{""1"": 0.6527777777777778, ""2"": 0.7636363636363637, ""3"": 0.45454545454545453}",False,True,False
ADI+CV2+mean_sales+std_sales,4,4,197,True,,0.31915016767980464,165.92759881520186,30,62,1:62;2:30;3:43;4:62,0.6212401951929998,0.6181866996217986,0.38985527196548214,0.8483328328836219,"{""1"": 0.7692307692307693, ""2"": 0.5757575757575758, ""3"": 0.584349593495935, ""4"": 0.8}",False,True,False
ADI+CV2+mean_sales+std_sales,4,5,197,True,,0.30690177452758577,152.77208362377314,26,62,1:62;2:30;3:43;4:36;5:26,0.5959317262246275,0.5811508389446222,0.38413646424894266,0.8113649259492045,"{""1"": 0.6939799331103679, ""2"": 0.7346938775510204, ""3"": 0.597872340425532, ""4"": 0.675, ""5"": 0.2905722326454033}",False,True,False
ADI+CV2+mean_sales+std_sales,4,6,197,True,,0.31445854867795736,145.73303579551242,6,62,1:62;2:6;3:24;4:43;5:36;6:26,0.5992073152065361,0.5921293663633131,0.40914385799244074,0.8121965362408724,"{""1"": 0.6857298474945535, ""2"": 0.679144385026738, ""3"": 0.6486486486486487, ""4"": 0.7633053221288515, ""5"": 0.42857142857142855, ""6"": 0.35714285714285715}",False,True,False
ADI+CV2+mean_sales+acf1,4,2,197,True,,0.3603405375443249,145.90861328749185,98,99,1:98;2:99,0.6552950087701481,0.6942883581496477,0.34557872982406035,0.9245440519954664,"{""1"": 0.8555555555555555, ""2"": 0.846606334841629}",False,True,False
ADI+CV2+mean_sales+acf1,4,3,197,True,,0.3044563017297556,106.77409278293486,29,99,1:69;2:29;3:99,0.602617929408091,0.5796733960539747,0.3885644727727269,0.8305314086724056,"{""1"": 0.7716181180417874, ""2"": 0.78, ""3"": 0.43137254901960786}",False,True,False
ADI+CV2+mean_sales+acf1,4,4,197,True,,0.2589737271935192,96.4278176458793,15,84,1:69;2:29;3:84;4:15,0.5722529005821387,0.5527718445595635,0.39015797200693986,0.7707630079397929,"{""1"": 0.8, ""2"": 0.5886217948717949, ""3"": 0.5833333333333334, ""4"": 0.3023255813953488}",False,True,False
ADI+CV2+mean_sales+acf1,4,5,197,True,,0.24053197888901087,89.8680069885359,15,84,1:29;2:40;3:29;4:84;5:15,0.5023576187149104,0.49009594254533617,0.3699511819094571,0.6404090230752324,"{""1"": 0.5866071428571429, ""2"": 0.0528344671201814, ""3"": 0.6461100569259962, ""4"": 0.6, ""5"": 0.673469387755102}",False,True,False
ADI+CV2+mean_sales+acf1,4,6,197,True,,0.2543735720914735,89.93876922556862,15,68,1:29;2:40;3:29;4:68;5:16;6:15,0.5854975132264879,0.5682774386277776,0.44875035337381314,0.7536925153841921,"{""1"": 0.6153846153846154, ""2"": 0.5454545454545454, ""3"": 0.7734604105571847, ""4"": 0.8125, ""5"": 0.7438878950506858, ""6"": 0.6858552631578947}",False,True,False
ADI+CV2+median_sales+std_sales,4,2,197,True,,0.36071315266622156,135.9259816196035,95,102,1:102;2:95,0.5574090677181892,0.7377415623265621,0.05260471227570249,0.9245469538059721,"{""1"": 0.8765432098765432, ""2"": 0.8648648648648649}",False,False,False
ADI+CV2+median_sales+std_sales,4,3,197,True,,0.43317593930697,194.87902956184357,28,95,1:28;2:74;3:95,0.6976958225788243,0.7760739859790194,0.4059531187167774,0.9325796881288757,"{""1"": 0.866260162601626, ""2"": 0.8320512820512821, ""3"": 1.0}",False,False,False
ADI+CV2+median_sales+std_sales,4,4,197,True,,0.34308790323734106,180.07497212789505,28,74,1:28;2:74;3:60;4:35,0.6586995392244296,0.6777584421253036,0.46177834379253113,0.8223639319899758,"{""1"": 0.8387096774193549, ""2"": 0.6136842105263158, ""3"": 1.0, ""4"": 0.6741658240647118}",False,False,False
ADI+CV2+median_sales+std_sales,4,5,197,True,,0.3275317978927293,177.21297850713995,28,60,1:28;2:44;3:30;4:60;5:35,0.6056184829814504,0.5910249204124811,0.4748049037906488,0.7598855391642713,"{""1"": 0.62, ""2"": 0.6, ""3"": 1.0, ""4"": 0.6823725055432373, ""5"": 0.6371473354231976}",False,False,False
ADI+CV2+median_sales+std_sales,4,6,197,True,,0.3199817280287953,166.45755358125996,28,44,1:28;2:44;3:30;4:32;5:35;6:28,0.6134901071469259,0.6064716956755453,0.4917645068071841,0.7561053411212822,"{""1"": 0.525625, ""2"": 0.6666666666666666, ""3"": 0.3939393939393939, ""4"": 0.5584815321477428, ""5"": 0.6410256410256411, ""6"": 1.0}",False,False,False
ADI+CV2+median_sales+nonzero_mean,4,2,197,True,,0.4928042295073863,117.25582639693394,28,169,1:28;2:169,0.7884682157278868,1.0,0.02665437649440654,1.0,"{""1"": 1.0, ""2"": 1.0}",False,False,False
ADI+CV2+median_sales+nonzero_mean,4,3,197,True,,0.4196829116945417,173.68833943013587,28,119,1:28;2:119;3:50,0.7448104973321623,0.8108384406196756,0.40561581361915683,1.0,"{""1"": 0.9032258064516129, ""2"": 1.0, ""3"": 0.8190909090909091}",False,False,False
ADI+CV2+median_sales+nonzero_mean,4,4,197,True,,0.3511823946587421,162.52674069555928,28,82,1:28;2:37;3:82;4:50,0.5475633430507286,0.5454995971140317,0.3810529698722885,0.7028387353378382,"{""1"": 0.5140873015873015, ""2"": 0.44033898305084745, ""3"": 0.901219512195122, ""4"": 1.0}",False,False,False
ADI+CV2+median_sales+nonzero_mean,4,5,197,True,,0.32875418477920526,145.89387927731545,28,50,1:28;2:37;3:48;4:34;5:50,0.5486449720183626,0.5442257995008595,0.3643309054360557,0.7418003501186398,"{""1"": 0.39285714285714285, ""2"": 0.29508196721311475, ""3"": 0.9069767441860465, ""4"": 1.0, ""5"": 0.44862772695285014}",False,False,False
