sku,n_observed,n_positive,n_zero,total_sales,mean_sales,median_sales,std_sales,nonzero_mean,CV2,ADI,zero_ratio,approx_entropy,trailing_zero_share,acf1,acf1_zero_variance
FRW0024,135,31,104,91.0,0.674074074074074,0.0,1.7226742037839111,2.935483870967742,0.7422130982570542,4.354838709677419,0.7703703703703704,0.3368901006868179,0.0,0.7093533841970656,False
FRW0025,30,4,26,10.0,0.3333333333333333,0.0,0.8840866447369844,2.5,0.05333333333333333,7.5,0.8666666666666667,0.40743178113790146,0.13333333333333333,0.1131498470948011,False
FSTBY001,135,7,128,9.0,0.06666666666666667,0.0,0.30419946323561425,1.2857142857142858,0.14403292181069957,19.285714285714285,0.9481481481481482,0.09611519879139091,0.0,0.24453903975274266,False
FZGLS0001,135,6,129,7.0,0.05185185185185185,0.0,0.25388087812278376,1.1666666666666667,0.1224489795918367,22.5,0.9555555555555556,0.1370135163077793,0.08148148148148149,0.18928262748487434,False
FZGLS0002,135,8,127,8.0,0.05925925925925926,0.0,0.23698866283617884,1.0,0.0,16.875,0.9407407407407408,0.19834122409848187,0.1259259259259259,0.3353174603174605,False
FZLRICBHP0001,135,19,116,42.0,0.3111111111111111,0.0,0.9732747205142235,2.210526315789474,0.5361552028218693,7.105263157894737,0.8592592592592593,0.19185840235094098,0.0,0.6407596874481083,False
FZLRJ0001,135,35,100,104.0,0.7703703703703704,0.0,1.656920091664142,2.9714285714285715,0.46293073442394694,3.857142857142857,0.7407407407407407,0.4040752167665915,0.0,0.6579952985548002,False
FZLRJ0001double,135,5,130,5.0,0.037037037037037035,0.0,0.18955593855614655,1.0,0.0,27.0,0.9629629629629629,0.12665529733293596,0.007407407407407408,-0.0387596899224806,False
FZLRJ0002,135,54,81,270.0,2.0,0.0,3.6446648802807973,5.0,0.732075471698113,2.5,0.6,0.3758339520341596,0.0,0.6842361688500653,False
FZLRJ0002double,135,13,122,22.0,0.16296296296296298,0.0,0.5757202809538701,1.6923076923076923,0.31336088154269975,10.384615384615385,0.9037037037037037,0.25106875760739544,0.007407407407407408,0.43678547410894375,False
FZLRJ0005,30,6,24,22.0,0.7333333333333333,0.0,2.132399220779639,3.6666666666666665,1.0016528925619834,5.0,0.8,0.21504389467877805,0.16666666666666666,0.3222163865546217,False
GJMJSLW001,104,11,93,187.0,1.7980769230769231,0.0,10.893464512330501,17.0,3.2456747404844295,9.454545454545455,0.8942307692307693,0.11314686459007778,0.4519230769230769,0.39154605723148134,False
GJMJSW001,104,1,103,1.0,0.009615384615384616,0.0,0.09805806756909202,1.0,,104.0,0.9903846153846154,0.0557810849705159,0.5769230769230769,-0.0098039215686275,False
GJMJWJX001,135,62,73,834.0,6.177777777777778,0.0,17.27644702739968,13.451612903225806,3.0739517361226016,2.1774193548387095,0.5407407407407407,0.18666536255614719,0.17777777777777778,0.39853268677221604,False
GJMJWJXW001,135,23,112,1182.0,8.755555555555556,0.0,29.8474896233489,51.391304347826086,1.1872181710427994,5.869565217391305,0.8296296296296296,0.1443067779801216,0.2,0.6312396472949092,False
GJMUSDW001,104,2,102,2.0,0.019230769230769232,0.0,0.1380002272946792,1.0,0.0,52.0,0.9807692307692307,0.05611800812885753,0.5576923076923077,0.49009900990099237,False
HLGKSLT0001,135,54,81,140.0,1.037037037037037,0.0,1.6226356273714182,2.5925925925925926,0.37906045437042746,2.5,0.6,0.5255137804580068,0.0,0.6618506497574348,False
HSAKSLT0001,104,6,98,9.0,0.08653846153846154,0.0,0.3715769837019344,1.5,0.1333333333333333,17.333333333333332,0.9423076923076923,0.16270948452931266,0.19230769230769232,0.08538251366120206,False
HWZDSKL0001,135,35,100,202.0,1.4962962962962962,0.0,4.135528759482706,5.771428571428571,1.2610571627925748,3.857142857142857,0.7407407407407407,0.23963880762065337,0.0,0.4567871527220413,False
HWZDSKL0002,135,11,124,29.0,0.21481481481481482,0.0,0.9334991560819693,2.6363636363636362,0.6696789536266349,12.272727272727273,0.9185185185185185,0.2415395637311326,0.13333333333333333,0.528802506233619,False
HZSN0001,135,73,62,265.0,1.962962962962963,1.0,2.5316132765886876,3.6301369863013697,0.43951307305881904,1.8493150684931507,0.45925925925925926,0.6345870079683398,0.007407407407407408,0.5485025444959454,False
JZJ00011,135,36,99,87.0,0.6444444444444445,0.0,1.3297214760919294,2.4166666666666665,0.40482418889077637,3.75,0.7333333333333333,0.361893949491346,0.014814814814814815,0.589877891016944,False
JZJ00012,135,58,77,231.0,1.711111111111111,0.0,2.926631874587789,3.9827586206896552,0.6890221750098715,2.3275862068965516,0.5703703703703704,0.4878976878805297,0.0,0.6669642990300655,False
JZJ0002,135,80,55,771.0,5.711111111111111,5.0,6.374935371831222,9.6375,0.32960058486178256,1.6875,0.4074074074074074,0.4557170073034178,0.0,0.7617224173182707,False
