horizon_label,horizon_weeks,origin_index,origin,method,n_sku_origins,n_unique_skus,observed_event_rate,mean_probability,calibration_gap,brier_score,log_loss,roc_auc,average_precision,zero_probability_share,one_probability_share
60_day_proxy,9,4,2026-01-26,SKU_block_frequency,100,100,0.92,0.4016666666666667,-0.5183333333333333,0.36111111111111116,0.9549597067741916,0.7404891304347827,0.9668573855867579,0.0,0.0
60_day_proxy,9,5,2026-03-30,Overall_block_frequency,100,100,0.8,0.4415384615384616,-0.35846153846153844,0.2884946745562131,0.7705060234290155,0.5,0.8,0.0,0.0
60_day_proxy,9,5,2026-03-30,PXQ_independence,100,100,0.8,0.8413941293383687,0.04139412933836861,0.22335788180585653,3.0639776038311,0.7150000000000001,0.9148818730966647,0.08,0.18
60_day_proxy,9,5,2026-03-30,Profile_block_frequency,100,100,0.8,0.44153846153846155,-0.3584615384615385,0.2758718627474467,0.7555603252628766,0.6946875,0.8736334978070175,0.0,0.0
60_day_proxy,9,5,2026-03-30,SKU_block_frequency,100,100,0.8,0.4415384615384616,-0.35846153846153844,0.32,0.862494007299539,0.534375,0.8224398810845492,0.0,0.0
60_day_proxy,9,6,2026-06-01,Overall_block_frequency,147,147,0.7755102040816326,0.4718875502008033,-0.3036226538808293,0.2662808433965351,0.7257440792402967,0.5,0.7755102040816326,0.0,0.0
60_day_proxy,9,6,2026-06-01,PXQ_independence,147,147,0.7755102040816326,0.68052412711203,-0.0949860769696026,0.3215425297450509,7.314354127083583,0.6605528973950027,0.8828311687526947,0.2653061224489796,0.17006802721088435
60_day_proxy,9,6,2026-06-01,Profile_block_frequency,147,147,0.7755102040816326,0.4404346044751787,-0.33507559960645394,0.31710422852095943,0.8581732000106799,0.47474747474747475,0.7756449711759335,0.0,0.0
60_day_proxy,9,6,2026-06-01,SKU_block_frequency,147,147,0.7755102040816326,0.49125364431486884,-0.2842565597667638,0.36481327224767457,5.973733245123507,0.47474747474747475,0.7529986035823174,0.10884353741496598,0.1360544217687075
90_day_proxy,13,1,2025-02-03,Overall_block_frequency,195,195,0.48717948717948717,0.24743589743589747,-0.2397435897435897,0.3073126232741617,0.8261757149206946,0.5,0.48717948717948717,0.0,0.0
90_day_proxy,13,1,2025-02-03,PXQ_independence,195,195,0.48717948717948717,0.38306024948767425,-0.10411923769181292,0.2634267701961298,6.750205742954785,0.7393684210526316,0.7203210004597851,0.5794871794871795,0.041025641025641026
90_day_proxy,13,1,2025-02-03,Profile_block_frequency,195,195,0.48717948717948717,0.24743589743589745,-0.23974358974358972,0.303147743731965,0.9118877364622097,0.6214736842105264,0.577302532348972,0.0,0.0
90_day_proxy,13,1,2025-02-03,SKU_block_frequency,195,195,0.48717948717948717,0.24743589743589745,-0.23974358974358972,0.305448717948718,6.2171770402764945,0.6566842105263158,0.628390927691437,0.48717948717948717,0.020512820512820513
90_day_proxy,13,2,2025-05-05,Overall_block_frequency,195,195,0.5794871794871795,0.2953846153846155,-0.284102564102564,0.3243960552268245,0.853894157061465,0.5,0.5794871794871795,0.0,0.0
90_day_proxy,13,2,2025-05-05,PXQ_independence,195,195,0.5794871794871795,0.44808498916426304,-0.1314021903229165,0.2800708762560953,7.210377668185715,0.7463846319879128,0.795165482121706,0.5128205128205128,0.046153846153846156
90_day_proxy,13,2,2025-05-05,Profile_block_frequency,195,195,0.5794871794871795,0.2953846153846154,-0.2841025641025641,0.35748923324737275,1.0129887236909771,0.5357759551046839,0.611964731433758,0.0,0.0
90_day_proxy,13,2,2025-05-05,SKU_block_frequency,195,195,0.5794871794871795,0.2953846153846154,-0.2841025641025641,0.40471794871794875,7.4624768579882925,0.4827865314051371,0.5832919986485838,0.31794871794871793,0.020512820512820513
90_day_proxy,13,3,2025-08-04,Overall_block_frequency,195,195,0.6051282051282051,0.3427350427350428,-0.2623931623931623,0.30779823215720653,0.813684909463034,0.5,0.6051282051282051,0.0,0.0
90_day_proxy,13,3,2025-08-04,PXQ_independence,195,195,0.6051282051282051,0.5386503366852547,-0.06647786844295034,0.20519277594683477,4.79844284900535,0.8133392031697118,0.8539883730364692,0.4205128205128205,0.09230769230769231
90_day_proxy,13,3,2025-08-04,Profile_block_frequency,195,195,0.6051282051282051,0.3427350427350428,-0.2623931623931623,0.3268604692061482,0.896104132862183,0.536484701738939,0.6291463665683112,0.0,0.0
90_day_proxy,13,3,2025-08-04,SKU_block_frequency,195,195,0.6051282051282051,0.3427350427350427,-0.2623931623931624,0.37507122507122503,4.283903657066741,0.4591679506933744,0.6126877083873447,0.1282051282051282,0.010256410256410256
90_day_proxy,13,4,2025-11-03,Overall_block_frequency,100,100,0.92,0.40285714285714297,-0.5171428571428571,0.3410367346938776,0.8776873151783599,0.5,0.92,0.0,0.0
90_day_proxy,13,4,2025-11-03,PXQ_independence,100,100,0.92,0.8629557714072434,-0.057044228592756596,0.1295451761640895,2.873454632744906,0.7275815217391304,0.9680393196429515,0.1,0.18
90_day_proxy,13,4,2025-11-03,Profile_block_frequency,100,100,0.92,0.40285714285714286,-0.5171428571428571,0.35796833018921853,0.9590971878668468,0.5163043478260869,0.9237132380453491,0.0,0.0
90_day_proxy,13,4,2025-11-03,SKU_block_frequency,100,100,0.92,0.40285714285714286,-0.5171428571428571,0.4036734693877551,2.659123189766127,0.46739130434782605,0.9156903464469254,0.05,0.02
90_day_proxy,13,5,2026-02-02,Overall_block_frequency,100,100,0.94,0.4675000000000002,-0.47249999999999975,0.27965625000000005,0.7525449173221049,0.5,0.94,0.0,0.0
90_day_proxy,13,5,2026-02-02,PXQ_independence,100,100,0.94,0.8782995099172223,-0.06170049008277767,0.13019118335239552,3.028217865779163,0.7420212765957447,0.9784180178122239,0.08,0.09
90_day_proxy,13,5,2026-02-02,Profile_block_frequency,100,100,0.94,0.4675,-0.4724999999999999,0.2827051177536232,0.7672221741970761,0.6125886524822695,0.9532662822052079,0.0,0.0
90_day_proxy,13,5,2026-02-02,SKU_block_frequency,100,100,0.94,0.4675,-0.4724999999999999,0.3090625,0.8264189773792029,0.6835106382978723,0.9681179400834172,0.0,0.02
90_day_proxy,13,6,2026-05-04,Overall_block_frequency,100,100,0.84,0.52,-0.31999999999999995,0.23679999999999995,0.6667333006344297,0.5,0.84,0.0,0.0
90_day_proxy,13,6,2026-05-04,PXQ_independence,100,100,0.84,0.8742706526913189,0.034270652691318904,0.1444740614593986,2.0254195430865267,0.8106398809523809,0.9402017344833972,0.06,0.16
90_day_proxy,13,6,2026-05-04,Profile_block_frequency,100,100,0.84,0.5199999999999999,-0.32000000000000006,0.238784812898634,0.6743743160900227,0.625,0.8787445887445888,0.0,0.0
90_day_proxy,13,6,2026-05-04,SKU_block_frequency,100,100,0.84,0.52,-0.31999999999999995,0.27308641975308645,1.0664085317745235,0.5323660714285714,0.8413709044891842,0.0,0.02
