horizon_label,horizon_weeks,approximate_days,origin_index,origin,sku,cluster,cluster_profile,actual_sum,actual_event,training_weeks,lookback_weeks_used,complete_history_blocks,positive_history_blocks,positive_history_volume,all_history_volume,sku_recent_block_probability,sku_recent_block_conditional_quantity,sku_recent_block_expected_quantity,pxq_independence_probability,enterprise_peer_blocks,enterprise_peer_positive_blocks,enterprise_peer_positive_volume,profile_peer_blocks,profile_peer_positive_blocks,profile_peer_positive_volume,enterprise_reference_probability,enterprise_reference_conditional_quantity,profile_reference_probability,profile_probability_reference_source,profile_reference_conditional_quantity,profile_quantity_reference_source,profile_probability_l1,profile_conditional_quantity_l1,profile_expected_quantity_l1,profile_probability_l4,profile_conditional_quantity_l4,profile_expected_quantity_l4,profile_probability_l8,profile_conditional_quantity_l8,profile_expected_quantity_l8,enterprise_probability_l4,enterprise_conditional_quantity_l4,enterprise_expected_quantity_l4
30_day_proxy,4,28,5,2026-06-08,ZTD0003,1,relative_active_persistent,3.0,1,127,52,13,11,95.0,95.00000000000001,0.8461538461538461,8.636363636363637,7.307692307692308,0.9375,1522,986,16577.25,901,731,15721.25,0.6478318002628121,16.81262677484787,0.8113207547169812,profile_leave_one_out,21.506497948016417,profile_leave_one_out,0.84366576819407,9.708874829001369,8.19104534090951,0.8379578246392897,12.068399452804378,10.112809752349952,0.8328840970350404,14.055367557059544,11.70649211625714,0.7994898353559557,10.816700473292766,8.647842080487521
30_day_proxy,4,28,5,2026-06-08,ZTD0004,0,low_information,0.0,0,22,22,5,0,0.0,0.0,0.0,,0.0,0.0,1530,997,16672.25,159,20,92.0,0.6516339869281046,16.722417251755267,0.12578616352201258,profile_leave_one_out,4.6,profile_leave_one_out,0.020964360587002098,4.6,0.09643605870020965,0.055904961565338925,4.6,0.25716282320055905,0.07740686985970005,4.6,0.3560716013546202,0.2896151053013798,16.722417251755267,4.8430646332607115
30_day_proxy,4,28,5,2026-06-08,xgx0013,0,low_information,8.0,1,22,22,5,2,5.0,5.0,0.4,2.5,1.0,0.68359375,1530,995,16667.25,159,18,87.0,0.6503267973856209,16.75100502512563,0.11320754716981132,profile_leave_one_out,4.833333333333333,profile_leave_one_out,0.3522012578616352,3.2777777777777772,1.1544374563242485,0.27253668763102723,4.055555555555555,1.1052876776147216,0.22351233671988388,4.366666666666666,0.9760038703434929,0.5112563543936093,12.00067001675042,6.135418803044513
30_day_proxy,4,28,5,2026-06-08,xgx0014,1,relative_active_persistent,14.0,1,22,22,5,5,33.0,33.0,1.0,6.6,6.6,0.99609375,1530,992,16639.25,909,737,15783.25,0.6483660130718955,16.7734375,0.8107810781078107,profile_leave_one_out,21.415535956580733,profile_leave_one_out,0.9684635130179684,9.069255992763456,8.78324351921096,0.9159027013812493,13.184682647369215,12.075886453579946,0.8835575865278836,15.717252896357374,13.88709803595391,0.8437182280319535,11.121527777777779,9.383435709674817
30_day_proxy,4,28,5,2026-06-08,xgx0015,1,relative_active_persistent,7.0,1,22,22,5,5,42.0,42.0,1.0,8.4,8.4,0.99609375,1530,992,16630.25,909,737,15774.25,0.6483660130718955,16.76436491935484,0.8107810781078107,profile_leave_one_out,21.403324287652644,profile_leave_one_out,0.9684635130179684,10.567220714608775,10.23396769610626,0.9159027013812493,14.179255238956731,12.986818176934701,0.8835575865278836,16.40204571547855,14.492151926488242,0.8437182280319535,12.117495519713263,10.22375184807761
30_day_proxy,4,28,5,2026-06-08,xgx0016,1,relative_active_persistent,16.0,1,22,22,5,5,39.0,39.0,1.0,7.8,7.8,0.9375,1530,992,16633.25,909,737,15777.25,0.6483660130718955,16.767389112903224,0.8107810781078107,profile_leave_one_out,21.40739484396201,profile_leave_one_out,0.9684635130179684,10.067899140660336,9.750392970474493,0.9159027013812493,13.847731041760893,12.683174269149783,0.8835575865278836,16.17378144243816,14.290467296310132,0.8437182280319535,11.785506272401433,9.94364646861001
30_day_proxy,4,28,5,2026-06-08,xymzd0015,1,relative_active_persistent,19.0,1,22,22,5,5,62.0,62.0,1.0,12.4,12.4,0.99609375,1530,992,16610.25,909,737,15754.25,0.6483660130718955,16.74420362903226,0.8107810781078107,profile_leave_one_out,21.37618724559023,profile_leave_one_out,0.9684635130179684,13.896031207598371,13.457799200318041,0.9159027013812493,16.38941655359566,15.01111089550083,0.8835575865278836,17.923807535747834,15.836716127675649,0.8437182280319535,14.330757168458781,12.091121044528258
30_day_proxy,4,28,5,2026-06-08,xymzd0016,0,low_information,0.0,0,22,22,5,0,0.0,0.0,0.0,,0.0,0.0,1530,997,16672.25,159,20,92.0,0.6516339869281046,16.722417251755267,0.12578616352201258,profile_leave_one_out,4.6,profile_leave_one_out,0.020964360587002098,4.6,0.09643605870020965,0.055904961565338925,4.6,0.25716282320055905,0.07740686985970005,4.6,0.3560716013546202,0.2896151053013798,16.722417251755267,4.8430646332607115
30_day_proxy,4,28,5,2026-06-08,zxy0002,0,low_information,3.0,1,22,22,5,1,1.0,1.0,0.2,1.0,0.2,0.68359375,1530,996,16671.25,159,19,91.0,0.6509803921568628,16.73820281124498,0.11949685534591195,profile_leave_one_out,4.7894736842105265,profile_leave_one_out,0.18658280922431866,2.8947368421052633,0.540108131965133,0.16422082459818307,4.031578947368422,0.6620692191695171,0.15045960328979197,4.368421052631579,0.6572708985817227,0.40043572984749454,13.590562248995985,5.442146713214514
30_day_proxy,4,28,6,2026-07-06,BLP0001,1,relative_active_persistent,47.0,1,131,52,13,13,325.5,325.5,1.0,25.03846153846154,25.03846153846154,1.0,1569,1026,16969.85,925,751,16040.85,0.6539196940726577,16.539814814814815,0.8118918918918919,profile_leave_one_out,21.359320905459388,profile_leave_one_out,0.9865637065637065,24.775665778961386,24.442772663475726,0.9557392686804452,24.172781389519855,23.10287640719198,0.9283397683397684,23.636884154460716,21.943059560226004,0.9185693397818018,23.038779956427017,21.162716893953373
