sku,start_week,end_week,length,pre_weeks,post_weeks,pre_positive_weeks,post_positive_weeks,pre_positive_share,post_positive_share,p_hat,p_zero,median_pre,median_post,corrected
FRH0050,2024-07-15,2024-07-29,3,12,12,3,6,0.25,0.5,0.375,0.244140625,2.0,1.0,False
FRH0050,2024-08-12,2024-08-19,2,12,12,4,6,0.3333333333333333,0.5,0.4166666666666667,0.3402777777777777,1.5,1.5,False
FRH0050,2024-10-07,2024-10-21,3,12,12,6,8,0.5,0.6666666666666666,0.5833333333333334,0.07233796296296294,1.0,2.0,False
FRH0050,2024-11-04,2024-11-11,2,12,12,6,10,0.5,0.8333333333333334,0.6666666666666666,0.11111111111111113,1.5,2.0,False
FRH0050,2025-03-17,2025-03-24,2,12,12,10,8,0.8333333333333334,0.6666666666666666,0.75,0.0625,1.0,1.5,False
FRH0050,2025-05-19,2025-05-26,2,12,12,8,7,0.6666666666666666,0.5833333333333334,0.625,0.140625,2.0,1.0,False
FRH0050,2025-08-04,2025-08-18,3,12,12,8,9,0.6666666666666666,0.75,0.7083333333333334,0.024811921296296287,1.0,2.0,False
FRH0050,2025-09-15,2025-09-29,3,12,12,8,10,0.6666666666666666,0.8333333333333334,0.75,0.015625,1.5,3.5,False
FRH0050,2025-12-15,2026-01-19,6,12,12,10,5,0.8333333333333334,0.4166666666666667,0.625,0.002780914306640625,3.5,1.0,False
FRH0050,2026-02-16,2026-03-02,3,12,12,6,2,0.5,0.16666666666666666,0.3333333333333333,0.2962962962962964,1.5,2.0,False
FRH0050,2026-03-16,2026-03-23,2,12,12,4,1,0.3333333333333333,0.08333333333333333,0.20833333333333334,0.626736111111111,1.0,1.0,False
FRH0051,2024-08-12,2024-09-02,4,12,12,7,12,0.5833333333333334,1.0,0.7916666666666666,0.001883801118827162,2.0,5.0,False
FRH0056,2024-07-15,2024-07-29,3,12,12,6,12,0.5,1.0,0.75,0.015625,1.5,6.0,False
FRH0056-1,2025-10-27,2025-11-17,4,12,12,1,5,0.08333333333333333,0.4166666666666667,0.25,0.31640625,1.0,1.0,False
FRH0056-1,2025-12-15,2025-12-22,2,12,12,4,3,0.3333333333333333,0.25,0.2916666666666667,0.501736111111111,1.0,1.0,False
FRH0056-1,2026-01-05,2026-01-12,2,12,12,5,4,0.4166666666666667,0.3333333333333333,0.375,0.390625,1.0,1.0,False
FRH0056-1,2026-01-26,2026-03-02,6,12,12,5,4,0.4166666666666667,0.3333333333333333,0.375,0.059604644775390625,1.0,1.0,False
FRH0056-1,2026-04-06,2026-05-11,6,12,11,4,2,0.3333333333333333,0.18181818181818182,0.2608695652173913,0.1630521433893641,1.0,1.0,False
FRH0058,2024-09-16,2024-09-30,3,12,12,1,1,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.7702546296296295,4.0,3.0,False
FRH0059,2024-05-27,2024-07-29,10,12,12,2,12,0.16666666666666666,1.0,0.5833333333333334,0.0001577202957908648,4.0,8.0,False
FRH0059,2025-06-30,2025-07-07,2,12,12,8,6,0.6666666666666666,0.5,0.5833333333333334,0.17361111111111108,2.0,2.0,False
FRH0059,2025-08-11,2025-09-08,5,12,12,9,7,0.75,0.5833333333333334,0.6666666666666666,0.004115226337448562,2.0,3.0,False
FRH0059,2025-10-20,2025-10-27,2,12,12,7,4,0.5833333333333334,0.3333333333333333,0.4583333333333333,0.29340277777777785,3.0,2.0,False
FRH0059,2025-11-17,2026-01-05,8,12,12,7,5,0.5833333333333334,0.4166666666666667,0.5,0.00390625,3.0,2.0,False
FRH0059,2026-02-09,2026-03-23,7,12,12,4,5,0.3333333333333333,0.4166666666666667,0.375,0.03725290298461914,3.0,1.0,False
