horizon_weeks,sku,origin,full_cluster,calendar_group,dynamic_cluster,tail_rank,actual_sum,mase_52_model,forecast_sum_model,mase_52_ma4,forecast_sum_ma4,method,metric,cohort,delta,ae_model,ae_ma4
4,YKLLW0005,2025-10-06,1,only_2024_2025,1,3,0.0,0.5027472527472527,4.6923076923076925,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.5027472527472527,,
4,FRH0045,2025-10-06,1,only_2024_2025,1,3,0.0,0.513986013986014,3.769230769230769,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.513986013986014,,
4,FRH0001,2025-10-06,1,only_2024_2025,1,3,0.0,1.984615384615385,6.615384615384616,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.984615384615385,,
4,FRH0003,2025-10-06,1,only_2024_2025,1,3,0.0,2.12618841832325,15.76923076923077,0.0,0.0,BlockFrequencyMean,mase_52,active120,2.12618841832325,,
4,GJMJSLW001,2025-10-06,1,only_2024_2025,1,3,0.0,0.5851368970013038,14.384615384615383,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.5851368970013038,,
4,JZJ0008,2025-10-06,1,only_2024_2025,1,3,19.0,0.6495726495726494,14.615384615384617,0.2962962962962963,21.0,BlockFrequencyMean,mase_52,active120,0.3532763532763531,,
4,JZQCQ001,2025-10-06,1,only_2024_2025,1,3,0.0,1.768385460693153,40.23076923076923,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.768385460693153,,
4,JZQCQ003,2025-10-06,1,only_2024_2025,1,3,0.0,1.130936859750419,38.92307692307692,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.130936859750419,,
4,QCCXC0007,2025-10-06,1,only_2024_2025,1,3,3.0,1.051419169066228,19.384615384615387,0.6417112299465241,13.0,BlockFrequencyMean,mase_52,active120,0.40970793911970393,,
4,QCXDS001,2025-10-06,1,only_2024_2025,1,3,0.0,0.6078799249530956,10.384615384615383,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.6078799249530956,,
4,ZJJYZBV001AMDE,2025-10-06,1,only_2024_2025,1,3,0.0,0.7633136094674556,3.3076923076923075,0.4615384615384615,2.0,BlockFrequencyMean,mase_52,active120,0.3017751479289941,,
4,JZJ0005,2025-11-03,1,only_2024_2025,1,2,0.0,1.1111111111111112,5.0,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.1111111111111112,,
4,QFSJZ001-1,2025-11-03,1,only_2024_2025,1,2,0.0,1.7094017094017095,3.846153846153847,9.333333333333334,21.0,BlockFrequencyMean,mase_52,active120,-7.623931623931624,,
4,FRH0002,2025-11-03,1,only_2024_2025,1,2,0.0,1.0998363338788872,4.307692307692308,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.0998363338788872,,
4,YBB0001,2025-11-03,1,only_2024_2025,1,2,5.0,0.777327935222672,2.5384615384615388,0.9473684210526316,2.0,BlockFrequencyMean,mase_52,active120,-0.17004048582995968,,
4,LRKF0001,2025-11-03,1,only_2024_2025,1,2,0.0,0.9230769230769232,2.4615384615384617,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.9230769230769232,,
4,QCSSXC0006,2025-11-03,1,only_2024_2025,1,2,2.0,1.0948121645796065,5.923076923076923,3.069767441860465,13.0,BlockFrequencyMean,mase_52,active120,-1.9749552772808583,,
4,SPH0001,2025-11-03,1,only_2024_2025,1,2,0.0,0.7100591715976332,2.307692307692308,2.1538461538461537,7.0,BlockFrequencyMean,mase_52,active120,-1.4437869822485205,,
4,FRH0004,2025-11-03,1,only_2024_2025,1,2,0.0,1.006993006993007,0.9230769230769232,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.006993006993007,,
4,JZQCQ004,2025-11-03,1,only_2024_2025,1,2,0.0,0.7261538461538461,4.538461538461538,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.7261538461538461,,
4,FRH0040,2025-11-03,1,only_2024_2025,1,2,0.0,1.5186104218362284,3.9230769230769234,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.5186104218362284,,
4,WSJZS0004,2025-11-03,1,only_2024_2025,1,2,0.0,1.4821235102925243,8.76923076923077,12.0,71.0,BlockFrequencyMean,mase_52,active120,-10.517876489707476,,
4,ZJJSJSV001AMDE,2025-11-03,1,only_2024_2025,1,2,0.0,1.0202429149797572,1.6153846153846154,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.0202429149797572,,
4,WSJZS0002,2025-11-03,1,only_2024_2025,1,2,0.0,1.301775147928994,4.230769230769231,12.0,39.0,BlockFrequencyMean,mase_52,active120,-10.698224852071005,,
4,QCCXC0005,2025-11-03,1,only_2024_2025,1,2,0.0,1.2461538461538462,10.384615384615383,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.2461538461538462,,
4,QCSSXC0005,2025-11-03,1,only_2024_2025,1,2,0.0,1.0256410256410258,7.6923076923076925,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.0256410256410258,,
4,YKLLW0005,2025-11-03,1,only_2024_2025,1,2,0.0,0.5027472527472527,4.6923076923076925,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.5027472527472527,,
4,FRH0045,2025-11-03,1,only_2024_2025,1,2,0.0,0.513986013986014,3.769230769230769,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.513986013986014,,
4,FRH0001,2025-11-03,1,only_2024_2025,1,2,0.0,1.656804733727811,5.384615384615385,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.656804733727811,,
4,FRH0003,2025-11-03,1,only_2024_2025,1,2,1.0,2.052812858783008,12.46153846153846,0.1791044776119403,0.0,BlockFrequencyMean,mase_52,active120,1.8737083811710677,,
4,GJMJSLW001,2025-11-03,1,only_2024_2025,1,2,0.0,0.6244343891402715,14.153846153846157,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.6244343891402715,,
4,JZJ0008,2025-11-03,1,only_2024_2025,1,2,5.0,1.601482854494903,16.076923076923077,2.0240963855421685,19.0,BlockFrequencyMean,mase_52,active120,-0.4226135310472656,,
4,JZQCQ001,2025-11-03,1,only_2024_2025,1,2,0.0,1.8830769230769235,39.23076923076923,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.8830769230769235,,
4,JZQCQ003,2025-11-03,1,only_2024_2025,1,2,0.0,1.2121457489878542,38.38461538461539,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.2121457489878542,,
4,QCCXC0007,2025-11-03,1,only_2024_2025,1,2,0.0,1.2259615384615383,19.615384615384617,0.1875,3.0,BlockFrequencyMean,mase_52,active120,1.0384615384615383,,
4,QCXDS001,2025-11-03,1,only_2024_2025,1,2,0.0,0.6896551724137933,10.000000000000002,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.6896551724137933,,
4,ZJJYZBV001AMDE,2025-11-03,1,only_2024_2025,1,2,0.0,0.7058823529411765,3.0,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.7058823529411765,,
4,JZJ0005,2025-12-01,1,only_2024_2025,1,1,0.0,1.1111111111111112,5.0,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.1111111111111112,,
4,QFSJZ001-1,2025-12-01,1,only_2024_2025,1,1,2.0,0.4615384615384617,3.846153846153847,0.5,0.0,BlockFrequencyMean,mase_52,active120,-0.038461538461538325,,
4,FRH0002,2025-12-01,1,only_2024_2025,1,1,0.0,1.004524886877828,2.8461538461538463,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.004524886877828,,
4,YBB0001,2025-12-01,1,only_2024_2025,1,1,0.0,0.8555347091932458,2.923076923076923,1.4634146341463414,5.0,BlockFrequencyMean,mase_52,active120,-0.6078799249530956,,
4,QCSSXC0006,2025-12-01,1,only_2024_2025,1,1,0.0,1.3759071117561683,6.076923076923077,0.4528301886792452,2.0,BlockFrequencyMean,mase_52,active120,0.9230769230769231,,
4,SPH0001,2025-12-01,1,only_2024_2025,1,1,0.0,0.6020066889632107,2.307692307692308,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.6020066889632107,,
