cohort,horizon_weeks,method,metric,n_pairs,n_skus,delta,ci_low,ci_high,pair_win_share,pair_tie_share,mean_model,median_model,bias_model,under_units_model,over_units_model,mase_lt1_model,mean_ma4,median_ma4,bias_ma4,under_units_ma4,over_units_ma4,mase_lt1_ma4,rmsse_model,rmsse_ma4
active120,13,FullHistoryMean,mase_full,448,96,1.180354209551158,0.5905011413276562,1.903878524672422,0.40401785714285715,0.0,7.456702319441299,1.1819444444444442,-0.4974294836891983,14447.341765873016,3310.3930555555553,,6.276348109890141,1.1335349355403468,0.025716683788169787,6888.416666666666,7464.1875,,,
active120,13,FullHistoryMean,ae,600,120,2.985598131613757,-1.1327195353835988,7.669452391286373,0.32,0.22166666666666668,32.11907614087302,15.255555555555556,-0.5202052478650208,16445.341765873018,3547.8930555555557,,29.13347800925926,12.0,-0.03821559176649322,8872.416666666666,7924.9375,,,
active120,13,FullHistoryMean,scaled_squared_error,445,96,14.0173288583524,6.273139517136095,26.114995705444237,0.4067415730337079,0.0,87.44998693794271,0.6202493624256165,-0.49811859760355676,14447.341765873018,3294.9644841269837,,73.43265807959031,0.4716157205240175,0.025716683788169787,6888.416666666666,7464.1875,,9.351469774208903,8.5692857391728
sparse77,4,BlockFrequencyMean,mase_52,413,77,0.5623767109793003,0.3446539277141965,0.8314455542463147,0.29055690072639223,0.009685230024213076,1.7107309273054085,0.8275862068965518,0.34311066126855605,217.07179487179488,347.45384615384614,0.6634382566585957,1.1483542163261085,0.0,0.060526315789473685,189.0,212.0,0.7215496368038741,,
sparse77,4,BlockFrequencyMean,mase_full,413,77,0.7328576395194887,0.39967489520021915,1.2060875679051988,0.29055690072639223,0.009685230024213076,2.7278793977176172,1.3901098901098905,0.34311066126855605,217.07179487179488,347.45384615384614,,1.9950217581981287,0.0,0.060526315789473685,189.0,212.0,,,
sparse77,4,BlockFrequencyMean,ae,416,77,0.47321928071928077,0.31044696969696967,0.6436687062937062,0.28846153846153844,0.016826923076923076,1.4771153846153848,1.0,0.3240565417488494,221.07179487179485,347.45384615384614,,1.0038961038961036,0.0,0.04871794871794872,193.0,212.0,,,
sparse77,4,BlockFrequencyMean,scaled_squared_error,413,77,0.9103246462445556,0.21227574478686823,1.9127593705217292,0.29055690072639223,0.009685230024213076,2.699861916692672,0.2485207100591715,0.34311066126855605,217.07179487179488,347.45384615384614,,1.7895372704481165,0.0,0.060526315789473685,189.0,212.0,,1.6431256545659165,1.3377358746957924
sparse77,4,MatchedHistoryMean,mase_52,413,77,0.5623767109793003,0.34465392771419645,0.8314455542463147,0.29055690072639223,0.009685230024213076,1.7107309273054085,0.8275862068965518,0.34311066126855605,217.07179487179485,347.45384615384614,0.6634382566585957,1.1483542163261085,0.0,0.060526315789473685,189.0,212.0,0.7215496368038741,,
sparse77,4,MatchedHistoryMean,mase_full,434,77,0.6941173340097027,0.35589548902866525,1.1755348844706492,0.2764976958525346,0.0576036866359447,2.6891390922078307,1.3397435897435899,0.34311066126855594,217.0717948717949,347.45384615384614,,1.9950217581981287,0.0,0.060526315789473685,189.0,212.0,,,
sparse77,4,MatchedHistoryMean,ae,462,77,0.35395160395160385,0.2235036491286491,0.48435370185370175,0.2597402597402597,0.11471861471861472,1.2717005217005217,0.9230769230769232,0.2625478026456022,240.07179487179485,347.45384615384614,,0.9177489177489176,0.0,0.0,212.0,212.0,,,
