sku,full_cluster,calendar_group,horizon_weeks,approximate_days,origin,tail_rank,origin_index,training_weeks,complete_future_weeks,eligibility
XYMZG0016,1,only_2026,13,91,2025-02-03,6,1,0,0,training_missing_or_less_than_4_weeks
DRMJJ0027,2,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
LYC0201,1,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
XGX9995,1,only_2026,13,91,2025-02-03,6,1,0,0,training_missing_or_less_than_4_weeks
NNBZL01,1,only_2026,13,91,2025-02-03,6,1,0,0,training_missing_or_less_than_4_weeks
NNB0002,1,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
QFSJZ002-1,2,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
HWZDSKL0001,1,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
FRW0024,1,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
BLP0001,1,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
BLP0003,2,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
