full_cluster,horizon_weeks,dimension,layer,metric,n,n_skus,mean_model,mean_ma4,delta,ci_low,ci_high,pair_win_share,pair_tie_share
1,9,dynamic_cluster,2,ae,103,45,11.773777777777779,11.808981481481482,-0.03520370370370411,-2.625913425925926,2.4008986111111104,0.47572815533980584,0.0
1,9,dynamic_cluster,2,mase_52,103,45,2.4592495929988454,2.378510311476338,0.08073928152250708,-0.35082944495667817,0.48270134319535946,0.47572815533980584,0.0
1,13,dynamic_cluster,0,ae,46,41,44.79573170731707,30.921747967479675,13.873983739837396,3.8041158536585375,23.25934959349593,0.2608695652173913,0.0
1,13,dynamic_cluster,0,mase_52,44,39,19.364935808664814,14.85274617538143,4.512189633283383,3.0946571895985957,5.711185064935065,0.2727272727272727,0.0
1,13,dynamic_cluster,1,ae,337,99,35.80782126823794,35.33779461279461,0.4700266554433225,-6.049101430976431,7.36299943883277,0.42136498516320475,0.002967359050445104
1,13,dynamic_cluster,1,mase_52,329,91,1.3434972310037205,1.3250617552655604,0.01843547573815987,-0.18406691649001608,0.2300991331362699,0.4133738601823708,0.00303951367781155
1,13,dynamic_cluster,2,ae,81,49,24.421037414965987,23.16513605442177,1.2559013605442177,-3.1202074829931967,4.868807823129252,0.37037037037037035,0.012345679012345678
1,13,dynamic_cluster,2,mase_52,72,40,4.02463835284019,3.379875838708538,0.6447625141316534,0.054791577203458064,1.2409912671131507,0.3472222222222222,0.013888888888888888
2,4,dynamic_cluster,0,ae,41,17,2.420789341377577,1.6470588235294117,0.7737305178481648,0.21182629462041225,1.3877199597787833,0.34146341463414637,0.07317073170731707
2,4,dynamic_cluster,0,mase_52,38,15,5.804480241980243,3.9298460798460795,1.8746341621341618,0.7094151196026199,3.247698634698632,0.3684210526315789,0.0
2,4,dynamic_cluster,1,ae,21,20,1.695192307692308,1.1,0.5951923076923078,-0.048389423076922955,1.1375480769230768,0.2857142857142857,0.0
2,4,dynamic_cluster,1,mase_52,21,20,0.9834537398627774,0.7160559494705836,0.2673977903921937,-0.11279804505603475,0.571133623074923,0.2857142857142857,0.0
2,4,dynamic_cluster,2,ae,354,70,1.3536416361416364,0.8928571428571428,0.4607844932844933,0.28277922771672775,0.6578863705738706,0.2824858757062147,0.011299435028248588
2,4,dynamic_cluster,2,mase_52,354,70,1.1912087364227706,0.7410860810471606,0.45012265537560986,0.25313830215996214,0.6984150310857048,0.2824858757062147,0.011299435028248588
2,9,dynamic_cluster,0,ae,73,44,5.428030303030303,4.198390151515152,1.2296401515151516,0.31216382575757584,2.1573934659090908,0.5342465753424658,0.0136986301369863
2,9,dynamic_cluster,0,mase_52,71,42,8.3123828420257,6.402862811791382,1.9095200302343156,0.8119011715797432,3.128771352985639,0.5211267605633803,0.014084507042253521
2,9,dynamic_cluster,1,ae,20,16,3.85625,2.6328125,1.2234375,-0.7874999999999999,3.0047265625,0.2,0.05
2,9,dynamic_cluster,1,mase_52,19,16,1.1956000213237057,0.8608238745187274,0.3347761468049781,-0.25843596373956274,0.9231214267122984,0.15789473684210525,0.05263157894736842
2,9,dynamic_cluster,2,ae,262,64,2.587395833333334,3.03193359375,-0.4445377604166666,-1.3771194661458335,0.3294781901041667,0.3816793893129771,0.007633587786259542
2,9,dynamic_cluster,2,mase_52,262,64,1.015984137773327,1.1795552843844375,-0.16357114661111066,-0.40926205032459684,0.07731618841778846,0.3816793893129771,0.007633587786259542
2,13,dynamic_cluster,0,ae,68,47,6.103575650118203,7.036347517730497,-0.932771867612293,-4.053084367612293,1.2416371158392434,0.5588235294117647,0.0
2,13,dynamic_cluster,0,mase_52,67,46,8.102302631578947,6.473377510806001,1.628925120772947,0.3969338768115943,2.9063043478260866,0.5522388059701493,0.0
2,13,dynamic_cluster,1,ae,15,12,3.3402777777777772,7.572916666666667,-4.232638888888889,-8.160416666666668,-1.3597222222222238,0.8666666666666667,0.0
2,13,dynamic_cluster,1,mase_52,15,12,0.8264515245294399,1.548847597406034,-0.7223960728765939,-1.3517478148666873,-0.21963788018862523,0.8666666666666667,0.0
2,13,dynamic_cluster,2,ae,193,67,3.501197139303483,4.200373134328358,-0.6991759950248757,-1.9514948694029857,0.35635144589552226,0.39896373056994816,0.010362694300518135
2,13,dynamic_cluster,2,mase_52,190,64,1.0092940202475502,1.1539815077413256,-0.1446874874937753,-0.4118350635471894,0.10955018533534076,0.4052631578947368,0.010526315789473684
1,4,tail_rank,1,ae,115,115,9.253690078037904,7.6115942028985515,1.6420958751393533,-2.402087792642141,4.492715719063545,0.3565217391304348,0.0
